"","sc.fear"
"1",0.181818181818182
"2",0.133333333333333
"3",0.0987654320987654
"4",0.166666666666667
"5",0.173913043478261
"6",0.195121951219512
"7",0.165217391304348
"8",0.158469945355191
"9",0.202492211838006
"10",0.237226277372263
"11",0.246073298429319
"12",0.147286821705426
"13",0.318181818181818
"14",0.254385964912281
"15",0.152671755725191
"16",0.138157894736842
"17",0.179640718562874
"18",0.228426395939086
"19",0.159340659340659
"20",0.251612903225806
"21",0.313253012048193
"22",0.28169014084507
"23",0.238297872340426
"24",0.507692307692308
"25",0.234939759036145
"26",0.395604395604396
"27",0.363636363636364
"28",0.285714285714286
"29",0.316964285714286
"30",0.160919540229885
"31",0.202643171806167
"32",0.233333333333333
"33",0.179039301310044
"34",0.196172248803828
"35",0.309278350515464
"36",0.194174757281553
"37",0.354961832061069
"38",0.212121212121212
"39",0.23448275862069
"40",0.227758007117438
"41",0.210526315789474
"42",0.282539682539683
"43",0.206666666666667
"44",0.232628398791541
"45",0.2296918767507
"46",0.275471698113208
"47",0.288288288288288
"48",0.25
"49",0.244239631336406
"50",0.178571428571429
